"","00063026-2a67-41de-b105-f80dca277978","00a26384-1b1c-4db4-9664-75fb9b3febdb"
"TSPAN6",3076,3888
"TNMD",2185,9
"DPM1",1041,1458
"SCYL3",748,2135
"C1orf112",292,440
"FGR",2380,486
"CFH",13272,1251
"FUCA2",2228,1380
"GCLC",2977,1405
"NFYA",1216,2266
"STPG1",490,596
"NIPAL3",1164,1748
"LAS1L",1964,3476
"ENPP4",2644,1369
"SEMA3F",2380,5188
"CFTR",38,20
"ANKIB1",4273,4138
"CYP51A1",69,205
"KRIT1",253,368
"RAD52",349,584
"MYH16",2,26
"BAD",324,490
"LAP3",5447,3938
"CD99",19765,7155
"HS3ST1",213,113
"AOC1",18,17
"WNT16",1,3
"HECW1",28,30
"MAD1L1",27,14
"LASP1",15901,19686
"SNX11",1537,1217
"TMEM176A",2064,1367
"M6PR",3666,3364
"KLHL13",331,1103
"CYP26B1",7082,238
"ICA1",776,3589
"DBNDD1",162,4759
"ALS2",1740,1736
"CASP10",1740,304
"CFLAR",12575,4752
"TFPI",4495,748
"NDUFAF7",517,595
"RBM5",3774,5380
"MTMR7",57,70
"SLC7A2",2347,31791
"ARF5",2291,5811
"SARM1",236,648
"POLDIP2",4502,5082
"PLXND1",18761,6630
"AK2",4473,5847
"CD38",202,129
"FKBP4",2043,10784
"KDM1A",2550,4988
"RBM6",3857,6012
"CAMKK1",657,1371
"RECQL",2360,1083
"VPS50",1238,1842
"HSPB6",4388,119
"ARHGAP33",222,1992
"NDUFAB1",1415,2484
"PDK4",60903,5393
"SLC22A16",8,11
"ZMYND10",25,764
"ABCB5",71,23
"ARX",0,3
"SLC25A13",880,1440
"ST7",1627,827
"CDC27",4315,2374
"SLC4A1",4,0
"CALCR",55,12
"HCCS",985,999
"DVL2",1311,2165
"PRSS22",2,1689
"UPF1",5218,8530
"SKAP2",5095,762
"SLC25A5",4787,8813
"MCUB",1273,828
"HOXA11",75,1
"POLR2J",748,1491
"DHX33",1012,1614
"MEOX1",2468,207
"THSD7A",1452,343
"LIG3",873,2655
"RPAP3",980,1920
"ACSM3",32,464
"REXO5",229,602
"CIAPIN1",1382,1723
"SPPL2B",1184,3602
"FAM214B",1733,1119
"COPZ2",2454,410
"PRKAR2B",28003,3636
"MSL3",1606,1753
"CREBBP",7726,9285
"TSPOAP1",497,2792
"MPO",22,12
"PON1",3,9
"GCFC2",1191,895
"WDR54",196,475
"CROT",618,2590
"ABCB4",82,68
"KMT2E",6030,5634
"RHBDD2",2481,5903
"SOX8",67,90
"IBTK",3492,4451
"ZNF195",733,1385
"MYCBP2",13261,2994
"FBXL3",4075,2894
"ITGAL",581,756
"PDK2",2342,1204
"ITGA3",2876,10551
"ZFX",3163,2620
"LAMP2",10689,11502
"ITGA2B",32,58
"ASB4",10,6
"GDE1",4738,4576
"REX1BD",676,1546
"CRLF1",398,286
"OSBPL7",356,1204
"TMEM98",1169,2984
"YBX2",377,206
"KRT33A",0,4
"MAP3K14",766,1316
"ABCC8",6,2851
"CACNG3",0,0
"TMEM132A",322,6879
"AP2B1",13043,18822
"TAC1",5,27
"ZNF263",1402,3177
"CX3CL1",2609,9116
"SPATA20",2024,4512
"CACNA1G",35,177
"TNFRSF12A",529,6839
"DLX6",6,0
"MAP3K9",25,914
"RALA",3448,3009
"BAIAP2L1",239,1522
"KDM7A",2756,1559
"ETV1",445,827
"AGK",971,1769
"ALDH3B1",1288,485
"TTC22",7,612
"PHTF2",1510,1282
"CCL26",22,5
"FARP2",1503,2169
"USH1C",0,27
"GGCT",303,1693
"DBF4",176,500
"TBXA2R",182,78
"IFRD1",399,593
"LGALS14",0,10
"COX10",653,957
"GTF2IRD1",545,2451
"PAF1",2955,3616
"VPS41",3936,3109
"ARHGAP44",235,726
"ELAC2",4021,3761
"SCIN",325,1439
"ARSD",1646,7985
"PNPLA4",949,2020
"MYH13",5,22
"ADIPOR2",11651,7817
"CDKL3",20,28
"UPP2",5,6
"PRSS21",3,11
"MARK4",1274,3351
"PROM1",2,2278
"CCDC124",1731,2336
"CEACAM21",45,69
"PAFAH1B1",9576,5844
"NOS2",30,38
"DNAH9",175,33
"KIAA0100",9765,6640
"SLC13A2",0,237
"GAS7",20264,2229
"TRAPPC6A",383,1356
"MATK",381,203
"CEACAM7",0,28
"CD79B",58,111
"SCN4A",2701,116
"ST7L",398,655
"TKTL1",19,0
"PAX6",2,3
"RPUSD1",440,1846
"RHBDF1",1672,5506
"LUC7L",1231,4094
"CACNA2D2",104,689
"BAIAP3",238,3062
"TSR3",1206,1726
"PIGQ",1090,4658
"CRAMP1",658,1450
"TEAD3",1216,3575
"SELE",127,98
"DNAJC11",1507,1855
"FMO3",541,21
"MYLIP",3050,2075
"NOX1",15,47
"E2F2",55,204
"PSMB1",6073,4589
"SYN1",17,59
"JARID2",1153,2163
"CDKL5",1221,1123
"CAMK1G",1,15
"CDK11A",60,62
"NADK",5829,4016
"TFAP2B",3,8685
"TFAP2D",0,0
"DLEC1",104,229
"CYTH3",5659,1761
"ADAM22",988,294
"SYPL1",6510,6582
"CYB561",2255,7029
"SPAG9",9965,4000
"CELSR3",96,646
"AASS",1145,1081
"PLEKHG6",2165,1113
"SS18L2",318,842
"MPND",317,576
"MGST1",31594,4200
"CRY1",1169,1842
"PGLYRP1",10,2
"NFIX",17126,4778
"ST3GAL1",5637,3553
"MMP25",80,613
"IL32",756,614
"PKD1",5930,4437
"MAPK8IP2",55,889
"MED24",3027,5540
"RHOBTB2",868,1349
"HEATR5B",2571,3614
"SEC62",11464,5499
"RPS20",28901,21561
"CSDE1",62432,27408
"UBE3C",5890,6384
"REV3L",6248,1268
"TENM1",652,70
"PAX7",2,12
"MASP2",134,143
"IYD",0,196
"FAM76A",1105,709
"TRAF3IP3",162,252
"POMT2",1088,1894
"VTA1",1840,2187
"MLXIPL",2378,1664
"BAZ1B",7159,6438
"RANBP9",1957,2593
"ETV7",30,82
"SPRTN",570,797
"EEF1AKNMT",2046,3353
"DYRK4",356,624
"ZNF207",4685,7344
"UQCRC1",5178,6203
"STARD3NL",1447,1265
"CD9",7616,24523
"HHATL",2,9
"NCAPD2",2119,3806
"IFFO1",1636,574
"GIPR",153,401
"PHF7",347,431
"SEMA3G",30759,1156
"NISCH",6881,8591
"STAB1",23869,3475
"FUZ",436,843
"SLC6A13",4,5
"IDS",727,927
"PRSS3",0,10
"ZNF200",367,708
"CD4",9165,1576
"LRRC23",224,555
"BTK",1067,260
"HFE",1375,1155
"SCMH1",2743,2789
"FYN",7955,982
"HIVEP2",5129,1110
"FMO1",253,488
"ELOA",3042,2329
"LYPLA2",1262,4048
"CLCN6",2067,1623
"MRC2",9450,6621
"NME1-NME2",0,0
"SLC6A7",8,32
"TSPAN9",3495,7154
"BTBD7",2967,2067
"APBA3",459,842
"MKS1",437,1078
"ABHD5",4335,1963
"ANOS1",1995,816
"AKAP8L",938,2665
"MBTD1",1094,1569
"UTP18",1044,1502
"RNF216",3200,3484
"TTC19",1606,3734
"PTBP1",8089,17672
"DPF1",8,20
"SYT7",612,7613
"LARS2",1066,1436
"PIK3C2A",5969,4131
"PLAUR",985,968
"ANLN",233,580
"WIZ",3233,4782
"RABGAP1",4058,4032
"DCN",163362,19998
"QPCTL",233,984
"PPP5C",1663,2858
"CEP68",4623,1654
"MAP4K3",2287,2492
"ZBTB32",13,44
"TYROBP",5303,1033
"TMEM159",2410,2884
"GABRA3",6,0
"BRCA1",600,625
"ERCC1",1822,2431
"CD22",254,384
"SEMA3B",2319,7526
"MBTPS2",1461,1741
"PRICKLE3",396,982
"LTF",221,84274
"EXTL3",2755,2844
"NR1H4",0,0
"ELOVL5",16651,39809
"ALOX5",1026,2097
"KDM5D",0,0
"CALCOCO1",10113,7192
"UBR7",1445,2331
"MAP4K5",2331,2579
"EHD3",474,1024
"PSMC4",2870,3610
"MAN2B2",6055,6292
"SLC7A14",6,9
"CLDN11",739,596
"SLC25A39",2713,6702
"MVP",10050,9200
"NUB1",4043,3104
"PGM3",1788,1554
"RWDD2A",373,430
"CLK1",4639,5176
"POLR3B",588,660
"ANGEL1",1631,1526
"RNF14",3383,3173
"DNASE1L1",587,699
"DDX11",144,1615
"HEBP1",3148,2926
"GPRC5A",2895,10890
"MAMLD1",654,446
"CD6",135,259
"TACC3",704,1310
"UFL1",2530,2215
"POLA2",89,198
"ZC3H3",872,1903
"CAPN1",6920,13376
"ACP3",104,83
"MDH1",7014,4543
"SLC30A9",2377,4065
"MTMR11",675,1289
"COX15",1374,1397
"CCDC88C",1084,6428
"YAF2",646,893
"ZMYND11",6946,8622
"WAS",860,366
"DPEP1",12,65
"BID",1194,1012
"MATR3",101,318
"NPC1L1",38,275
"XYLT2",1065,2578
"RGPD5",1,0
"STMN4",4,38
"NUDCD3",6168,6589
"ISL1",1,7
"CHDH",65,3099
"IL20RA",71,2511
"CLCA1",0,2
"CLCA4",12,19
"GLT8D1",2676,2571
"ATP2C1",5049,6127
"IGF1",554,181
"SLC38A5",126,141
"RALBP1",5916,4789
"RUFY3",2294,2874
"CNTN1",75,398
"SLC11A1",811,368
"WWTR1",5308,3898
"AGPS",5078,934
"ZNF806",12,0
"CXorf56",1170,1267
"ATP1A2",2750,148
"TTC27",1062,1019
"ZNF582",137,178
"VSIG2",64,575
"PHLDB1",25642,5555
"MARCO",11916,10
"CYP24A1",0,28
"PRDM11",897,584
"SYT13",0,923
"SNAI2",757,1435
"CD74",83143,41084
"HGF",800,233
"ZRANB1",1292,897
"NCDN",888,3795
"ADGRA2",9043,1743
"CCT8L1P",2,3
"ZFP64",770,1041
"MNAT1",508,531
"SAMD4A",6438,1759
"RUNX3",423,524
"MRE11",1516,1563
"PLEKHB1",51,501
"SERPINB1",3532,2680
"CYP3A43",4,4
"SLC7A9",16,20
"SPAST",1119,1139
"NRXN3",90,371
"OSBPL5",1998,4869
"AQR",3177,4405
"CPS1",345,209
"C8B",2,5
"FHL1",203671,891
"RTF2",3429,2503
"GABRA1",0,0
"NLRP2",48,430
"SLC45A4",631,1058
"RNF10",8799,9063
"ZNF839",302,725
"ZDHHC6",1592,2093
"GRAMD1B",228,175
"RNH1",12493,9990
"NDUFS1",6326,3910
"RB1CC1",4851,2839
"ERP44",3760,2246
"ALAS1",2905,2834
"BIRC3",700,1067
"AKAP11",7134,3890
"GLRX2",763,1124
"SNAPC1",240,219
"DERA",1344,1129
"STRAP",5848,6791
"ABCC2",307,60
"DEF6",292,1081
"PLEKHO1",2321,1437
"GCLM",1567,1133
"UBR2",4360,3230
"EHD2",40272,5199
"DEPDC1",25,112
"CCDC28A",943,994
"RRAGD",2686,277
"HSF2",585,724
"PHF20",3124,4110
"HSD17B6",31,151
"NR1H3",3877,1189
"TYMP",3162,2197
"NCAPH2",1606,1498
"TOMM34",786,1920
"SEC63",7554,5093
"KPNA6",4506,4140
"VIM",116791,13033
"RTEL1-TNFRSF6B",96,257
"FAS",727,633
"RNASET2",807,1641
"CD44",22686,15721
"KCNG1",4,66
"AGPAT4",1143,504
"SLAMF7",257,237
"BTN3A1",2495,1284
"MIPEP",596,2133
"PRKCH",1932,1910
"INSRR",16,27
"IFNGR1",8872,4353
"B4GALT7",975,1405
"SH2D2A",61,46
"VRK2",757,902
"TNFRSF1B",8044,1479
"VEZT",2247,5583
"POU2F2",375,216
"BRD9",1680,2303
"SNX1",13475,9369
"TBPL1",418,310
"ARNTL2",440,530
"BCLAF1",5727,7562
"SLC39A9",4350,6207
"ANK1",394,84
"IBSP",0,6
"TFB1M",229,442
"RABEP1",4181,7177
"HMGB3",405,1927
"NUP160",3183,2650
"BAK1",571,783
"MUSK",10,1
"IKZF2",417,918
"GRN",27178,15521
"FAM13B",1953,2113
"ARHGAP31",7250,1245
"CENPQ",286,193
"SARS1",5819,6236
"RANBP3",2705,3542
"ARID4A",2091,1410
"EIPR1",604,1306
"PNPLA6",2601,3060
"IFT88",507,1297
"ALG1",566,1291
"ZCCHC8",1124,1629
"ABCF2",563,828
"CHPF2",2106,4785
"LRRC7",26,41
"FUT8",1435,4402
"UBA6",1996,2619
"GAB2",6181,1607
"ATP6V0A1",4196,3987
"PIAS1",2497,1928
"SLC4A7",1597,8247
"APBA2",53,144
"MAP2K3",2900,2800
"EFCAB1",20,157
"TMSB10",25726,34647
"ASTE1",419,375
"RNF19A",3695,5380
"PEX3",526,704
"GABARAPL2",3960,2732
"MYOC",3958,0
"SH3YL1",797,3798
"FAM136A",820,1526
"VCL",18497,12879
"DEPDC1B",26,78
"DAPK2",1648,1586
"NSMAF",2879,1421
"ADSS2",1711,4980
"STAP1",14,44
"TIMP2",58724,12515
"RFC1",3537,2785
"TBC1D23",2594,1703
"CUL3",2895,3568
"MYOM2",121,69
"OTC",44,0
"CYP46A1",123,79
"ZZZ3",1976,2314
"SLC18A1",0,0
"USP2",202,243
"CASR",1,1
"TUBG2",1050,1558
"RPL26L1",317,705
"FLT4",2188,748
"NSUN2",2170,3395
"FBXO42",1735,1852
"MFAP3",1955,1168
"MRI1",406,1100
"METTL1",370,925
"HOXC8",659,232
"AGA",1049,1480
"PI4K2B",1106,1357
"BOD1L1",5280,3712
"MAT2B",3516,3159
"TLL1",985,170
"EDC4",1591,2646
"TRIO",14214,9658
"VCAN",30667,9875
"CLEC16A",1586,3564
"MSR1",9474,631
"CDH1",6,22352
"MTREX",3520,3198
"DNAH5",106,1823
"ZFYVE16",2443,2035
"RIPOR1",3729,2211
"C6",1936,37
"RAI14",1227,2325
"SOX30",7,24
"PNKP",899,2778
"BEST2",1,2
"PHLPP2",1001,1255
"SPDL1",229,331
"STAU2",1802,1922
"SLC66A1",520,1083
"CTNS",929,914
"RTN4R",78,224
"PHF23",1148,2531
"CDH10",1,1
"INPP4A",2251,1661
"RAB27B",124,5110
"PSMA4",3581,4510
"MYO16",448,19
"LSG1",1737,2212
"PARP3",1472,1881
"TNC",6137,27390
"THAP3",679,670
"RIPOR3",600,216
"TDP1",545,1165
"AIFM2",8554,750
"C2orf83",6,0
"SPATA7",483,359
"MED17",208,312
"RETSAT",31824,4745
"CAPG",3983,8910
"AP2S1",2204,3285
"USH2A",7,28
"ZPBP",0,2
"TG",52,41
"ADAM28",225,380
"BARX2",0,1886
"DCUN1D1",1694,1494
"JADE2",3680,3147
"ZIC2",2,15
"LCP2",1901,742
"TRIT1",407,1360
"ADRB1",488,124
"GUCA2B",0,0
"CUL7",1673,2069
"CTNNA1",26501,25271
"PHKA2",2037,2335
"CNTLN",865,237
"EPHA3",756,47
"HSPA5",18666,18755
"DSG2",5643,7938
"GEMIN8",678,1340
"OFD1",837,4310
"GPM6B",276,1875
"MAGEC2",0,0
"PREX2",3475,450
"WDR37",1280,1804
"YTHDC2",2020,2911
"CTPS2",969,3011
"ATP6V1H",2132,3017
"POLR2B",4515,5551
"FAM214A",3279,10502
"ARAP2",584,1589
"TPR",9430,8945
"CP",741,844
"KATNIP",1148,3776
"DTNBP1",856,961
"XK",30,43
"ANO2",426,115
"C12orf4",920,954
"SCML1",711,1084
"WWC3",3574,7646
"ARHGAP6",1344,219
"FAM184B",17,172
"MAP4",40535,14481
"GOPC",2078,1925
"ROS1",37,1
"USP28",942,1636
"HDAC9",2018,195
"TSPAN17",1159,2804
"NOP16",277,611
"CC2D2A",1349,690
"RRM2B",2275,1781
"ZNF800",1353,1635
"TNFRSF17",6,82
"SNX29",4974,2208
"LMO3",3082,28
"MRPS10",1836,2067
"GUCA1A",0,1
"RSF1",3434,3533
"VPS13D",8208,5912
"CELF2",12606,1569
"FAM120A",9838,13462
"R3HDM1",1735,1473
"COL9A2",117,2570
"KITLG",2235,3903
"ERCC8",547,415
"ADAMTS6",358,211
"H6PD",10687,6270
"VAMP3",10034,4172
"PER3",3139,1572
"UTS2",1,18
"TNFRSF9",16,25
"EPN3",12,2043
"LTBP1",3245,2341
"RCN1",1799,1389
"ELN",17129,5440
"RFC2",768,1383
"ARID1B",5666,6174
"CLPTM1L",4733,5285
"NEDD4L",2492,4742
"FOXP3",23,145
"PPP1R3F",167,326
"HEXB",7593,3773
"PTCD2",687,667
"NEXMIF",96,192
"JKAMP",1737,1787
"DKK3",4164,3024
"ARHGEF5",376,1275
"NFE2L3",379,248
"MCUR1",1830,1865
"LIMA1",18663,6435
"LETMD1",2977,3084
"SLC4A8",127,1228
"LAMC3",68,283
"PTGER3",8598,2100
"TNIP3",1,11
"MAPK9",2714,3351
"COL23A1",34,166
"BCAR1",2055,4427
"FAM160A2",1787,3684
"HERPUD1",5421,5232
"HOMER3",482,799
"RAD51",68,269
"POLQ",48,176
"PIK3CB",2896,2230
"CYBA",3037,1503
"THOC3",304,459
"HEBP2",9234,3985
"MPHOSPH9",517,843
"PLEKHA5",2093,1635
"PRSS8",1,13075
"SIKE1",1917,1531
"RRP12",1065,2807
"FNIP2",4884,2234
"MSMO1",887,3398
"TTC17",4063,4652
"ALX4",40,250
"FSTL4",2,1079
"FOXN3",13595,1737
"METTL24",30,24
"AKR7A2",2013,2688
"MRTO4",1294,1952
"NNAT",983,53
"USE1",894,951
"MCF2L2",9,38
"NRIP2",397,280
"LAMA3",2291,8410
"AP5M1",1991,2115
"ANAPC4",1286,1917
"KCNQ1",918,408
"TRAPPC3",2460,2591
"THRAP3",8769,11188
"PHPT1",1137,2221
"ENTPD2",46,1351
"LY75",140,461
"ARID4B",2799,5466
"OPN3",127,147
"SDCCAG8",1213,1780
"PTPRN",1,139
"HHAT",247,2369
"KIF1B",7085,3373
"FOXC1",972,455
"TBC1D22A",1834,1609
"SYNE2",13172,7391
"PLEKHH1",132,1804
"ATP9A",19528,5943
"SPO11",0,0
"CBLN4",5,23
"CHRDL2",6,113
"FAM168A",4429,3286
"RELT",182,253
"GALC",2553,1961
"NOP58",1054,2729
"SZRD1",4633,3945
"KCNH2",14,84
"CUL1",3647,3701
"FAM114A2",1462,1167
"CYFIP2",492,1113
"TAB2",6665,5261
"GINM1",3440,2195
"EIF2AK2",4334,2849
"USP36",3163,3660
"KMT2C",8276,7761
"MCOLN3",442,149
"CCDC85A",449,21
"PUM2",7631,8056
"MRPL43",1406,1979
"ITIH4",10,25
"ITIH1",5,1
"HPF1",855,542
"ZFR",7148,5268
"ZNF280C",173,296
"NPFFR2",2,82
"PHF21B",4,97
"TRAF1",424,913
"RC3H2",3778,2125
"IL17RB",103,1248
"TRAF3IP2",2003,2028
"GYG2",23510,617
"DCBLD2",3545,1418
"SERPINB3",0,16
"SOAT1",2394,1114
"PKP2",114,2200
"MSH4",16,20
"F7",15,577
"GDI2",11639,10792
"PRDM1",483,747
"ATG5",1805,1704
"TMCC3",1816,854
"PITHD1",2394,1864
"MTA3",1831,3129
"USP13",2384,956
"ATP11B",4362,1598
"LAMC2",310,8002
"CDK14",1389,2769
"SEC61A1",12187,12678
"PPP1R12A",4111,4254
"RASGRF1",26,58
"CAMK2B",15,2910
"CROCC",1376,2119
"POLR3E",1566,4669
"ATP2B4",30927,6518
"ZC3H11A",4,11
"RIOK2",1199,967
"YIPF1",1173,2399
"NDC1",1153,1467
"DGKG",185,21
"FLYWCH1",1902,4363
"UNKL",944,1480
"TBXAS1",1761,681
"PARP12",1356,1577
"ALDH18A1",2546,5842
"TARBP1",1475,5368
"GATB",959,879
"MXD1",972,1316
"CDK17",1948,2335
"DNAJC25",449,453
"SLC2A3",2690,1614
"PSD",23,278
"CTDP1",1170,1930
"YBX3",10559,8556
"STYK1",11,322
"WNK1",24582,15953
"RPS17P5",1,0
"CCAR1",2568,4250
"OGFR",1716,2252
"GNA15",611,427
"CREB3L3",4,0
"PIGV",893,967
"PTPRU",1510,2432
"SNRNP40",1280,1533
"RIMBP2",62,15
"COL11A1",104,609
"QSER1",2421,3087
"MPC1",1591,1241
"ACAA1",2133,2982
"BCAT1",4434,271
"HDAC7",6620,8310
"LZTS1",235,856
"PRDM6",238,140
"WNT8A",0,2
"SPAG4",33,263
"NCKAP1",12623,9583
"MRPS35",1635,4780
"GUCY1B1",944,315
"SFSWAP",1969,3728
