"","00063026-2a67-41de-b105-f80dca277978","00a26384-1b1c-4db4-9664-75fb9b3febdb"
"TSPAN6",51.4242,76.5053
"TNMD",112.2585,0.5442
"DPM1",65.403,107.8173
"SCYL3",8.241,27.6859
"C1orf112",3.7091,6.5783
"FGR",53.3651,12.8263
"CFH",126.1211,13.9924
"FUCA2",59.8704,43.6476
"GCLC",26.1955,14.5515
"NFYA",24.1963,53.0712
"STPG1",4.3659,6.2503
"NIPAL3",9.3943,16.6049
"LAS1L",11.8626,24.7116
"ENPP4",43.1741,26.3117
"SEMA3F",37.3976,95.9513
"CFTR",0.2898,0.1796
"ANKIB1",43.8532,49.9854
"CYP51A1",1.4827,5.1849
"KRIT1",3.0925,5.2944
"RAD52",5.8773,11.5757
"MYH16",0.024,0.3679
"BAD",14.3851,25.6063
"LAP3",109.1304,92.8641
"CD99",308.5273,131.459
"HS3ST1",2.1725,1.3565
"AOC1",0.3605,0.4008
"WNT16",0.0232,0.082
"HECW1",0.1524,0.1922
"MAD1L1",0.2832,0.1728
"LASP1",170.7704,248.8452
"SNX11",28.2009,26.2823
"TMEM176A",45.0152,35.0915
"M6PR",77.5457,83.7539
"KLHL13",3.5945,14.0985
"CYP26B1",107.0876,4.2359
"ICA1",12.0512,65.6032
"DBNDD1",2.7532,95.1972
"ALS2",12.6411,14.8447
"CASP10",17.4051,3.5792
"CFLAR",42.4214,18.8685
"TFPI",29.099,5.6995
"NDUFAF7",10.7382,14.546
"RBM5",27.6326,46.3646
"MTMR7",0.6239,0.9018
"SLC7A2",22.5147,358.9553
"ARF5",95.1955,284.2013
"SARM1",1.6116,5.2083
"POLDIP2",127.8641,169.8875
"PLXND1",148.8637,61.9199
"AK2",35.2413,54.2214
"CD38",2.2339,1.6792
"FKBP4",30.0069,186.43
"KDM1A",35.5464,81.84
"RBM6",40.072,73.518
"CAMKK1",6.7028,16.4631
"RECQL",47.3576,25.5794
"VPS50",9.8212,17.1995
"HSPB6",193.0117,6.161
"ARHGAP33",3.2005,33.8019
"NDUFAB1",69.317,143.2249
"PDK4",1016.3766,105.9327
"SLC22A16",0.1553,0.2513
"ZMYND10",0.6562,23.6039
"ABCB5",0.5816,0.2218
"ARX",0,0.086
"SLC25A13",17.9872,34.6439
"ST7",18.9058,11.3109
"CDC27",47.9508,31.0513
"SLC4A1",0.0592,0
"CALCR",0.9879,0.2537
"HCCS",31.88,38.0567
"DVL2",18.6837,36.3164
"PRSS22",0.0636,63.2356
"UPF1",46.1557,88.8084
"SKAP2",72.0697,12.6867
"SLC25A5",233.4465,505.8613
"MCUB",27.1546,20.7888
"HOXA11",2.1309,0.0334
"POLR2J",41.8617,98.2147
"DHX33",13.2566,24.885
"MEOX1",69.9903,6.9095
"THSD7A",10.0823,2.8033
"LIG3",5.1315,18.3687
"RPAP3",13.8908,32.0321
"ACSM3",0.3231,5.5146
"REXO5",4.2242,13.0703
"CIAPIN1",30.9785,45.4592
"SPPL2B",12.1021,43.3348
"FAM214B",20.6145,15.6671
"COPZ2",99.728,19.6115
"PRKAR2B",498.2478,76.1462
"MSL3",12.4526,15.9986
"CREBBP",37.85,53.5398
"TSPOAP1",3.3092,21.881
"MPO",0.473,0.3037
"PON1",0.0856,0.3023
"GCFC2",16.5354,14.6255
"WDR54",5.2115,14.8656
"CROT",9.3823,46.281
"ABCB4",0.8046,0.7854
"KMT2E",45.9613,50.5447
"RHBDD2",78.7197,220.4514
"SOX8",1.1366,1.7971
"IBTK",30.3712,45.5647
"ZNF195",4.7464,10.5559
"MYCBP2",62.9019,16.7156
"FBXL3",43.6711,36.5047
"ITGAL",4.4666,6.8408
"PDK2",32.4619,19.6425
"ITGA3",22.2499,96.0765
"ZFX",26.5417,25.8771
"LAMP2",86.1943,109.1689
"ITGA2B",0.4261,0.909
"ASB4",0.1646,0.1163
"GDE1",81.8436,93.0378
"REX1BD",15.207,40.9344
"CRLF1",10.1723,8.6037
"OSBPL7",4.1078,16.3519
"TMEM98",17.0904,51.3477
"YBX2",6.1733,3.9704
"KRT33A",0,0.274
"MAP3K14",10.2483,20.7235
"ABCC8",0.0361,20.2152
"CACNG3",0,0
"TMEM132A",3.3569,84.4093
"AP2B1",130.2965,221.3119
"TAC1",0.2215,1.4077
"ZNF263",16.6042,44.2865
"CX3CL1",33.1957,136.5199
"SPATA20",28.7586,75.4588
"CACNA1G",0.2638,1.5701
"TNFRSF12A",22.2739,338.9354
"DLX6",0.1321,0
"MAP3K9",0.1531,6.5865
"RALA",73.0567,75.041
"BAIAP2L1",3.7594,28.1784
"KDM7A",22.2855,14.838
"ETV1",3.5097,7.677
"AGK",6.8835,14.7606
"ALDH3B1",14.7407,6.5332
"TTC22",0.0869,8.9388
"PHTF2",13.2439,13.2346
"CCL26",2.3731,0.6348
"FARP2",7.931,13.4713
"USH1C",0,0.4914
"GGCT",14.4148,94.7996
"DBF4",2.9046,9.7123
"TBXA2R",4.882,2.4627
"IFRD1",3.829,6.6982
"LGALS14",0,0.9873
"COX10",7.3296,12.6433
"GTF2IRD1",6.3592,33.6616
"PAF1",78.6261,113.2457
"VPS41",38.5031,35.7969
"ARHGAP44",1.9117,6.9513
"ELAC2",43.5478,47.9423
"SCIN",2.1199,11.0476
"ARSD",17.7654,101.439
"PNPLA4",21.0979,52.8576
"MYH13",0.062,0.3209
"ADIPOR2",151.5216,119.6562
"CDKL3",0.4816,0.7936
"UPP2",0.1282,0.1811
"PRSS21",0.1157,0.4991
"MARK4",14.5148,44.9365
"PROM1",0.0203,27.2664
"CCDC124",79.0281,125.5282
"CEACAM21",1.7261,3.1152
"PAFAH1B1",52.7318,37.8776
"NOS2",0.5172,0.771
"DNAH9",0.7833,0.1739
"KIAA0100",80.2104,64.1963
"SLC13A2",0,6.5573
"GAS7",151.2764,19.5857
"TRAPPC6A",31.1294,129.7227
"MATK",6.9821,4.3787
"CEACAM7",0,0.942
"CD79B",2.133,4.8048
"SCN4A",24.8481,1.2561
"ST7L",3.7224,7.2105
"TKTL1",0.4086,0
"PAX6",0.0073,0.013
"RPUSD1",12.0499,59.5041
"RHBDF1",25.8021,100.009
"LUC7L",15.1149,59.1669
"CACNA2D2",1.2118,9.4495
"BAIAP3",2.9543,44.7376
"TSR3",75.5816,127.3191
"PIGQ",10.5215,52.922
"CRAMP1",5.8048,15.056
"TEAD3",30.2434,104.6542
"SELE",2.1,1.9073
"DNAJC11",22.4826,32.5733
"FMO3",11.9294,0.545
"MYLIP",75.2892,60.2886
"NOX1",0.4473,1.6496
"E2F2",0.7636,3.3336
"PSMB1",207.5393,184.586
"SYN1",0.3453,1.4107
"JARID2",14.003,30.9194
"CDKL5",4.8589,5.26
"CAMK1G",0.0228,0.4023
"CDK11A",0.8948,1.0883
"NADK",79.3584,64.3541
"TFAP2B",0.037,125.9447
"TFAP2D",0,0
"DLEC1",0.9459,2.4514
"CYTH3",73.8869,27.0627
"ADAM22",6.1417,2.1511
"SYPL1",177.3871,211.0973
"CYB561",32.2889,118.4632
"SPAG9",63.1513,29.8366
"CELSR3",0.5256,4.1631
"AASS",13.0294,14.4787
"PLEKHG6",38.5392,23.3197
"SS18L2",7.734,24.1032
"MPND",11.732,25.091
"MGST1",321.979,50.3798
"CRY1",18.5378,34.381
"PGLYRP1",1.0711,0.2521
"NFIX",201.8188,66.2728
"ST3GAL1",48.2904,35.8255
"MMP25",1.4288,12.886
"IL32",17.8651,17.078
"PKD1",24.2627,21.3677
"MAPK8IP2",0.72,13.6973
"MED24",32.971,71.0254
"RHOBTB2",9.9565,18.2131
"HEATR5B",23.6665,39.1565
"SEC62",109.6546,61.9096
"RPS20",323.966,284.4717
"CSDE1",819.3775,423.3873
"UBE3C",48.4701,61.8352
"REV3L",38.1328,9.1088
"TENM1",3.834,0.4845
"PAX7",0.0234,0.1655
"MASP2",2.387,2.9983
"IYD",0,1.6883
"FAM76A",20.7105,15.6408
"TRAF3IP3",1.5851,2.9023
"POMT2",8.2448,16.8933
"VTA1",19.2245,26.8949
"MLXIPL",37.4516,30.8457
"BAZ1B",76.8957,81.3925
"RANBP9",41.0182,63.9694
"ETV7",0.9583,3.083
"SPRTN",7.3187,12.0449
"EEF1AKNMT",40.4993,78.1195
"DYRK4",3.8271,7.8956
"ZNF207",22.4601,41.4399
"UQCRC1",122.553,172.8014
"STARD3NL",25.3768,26.1122
"CD9",99.0803,375.5066
"HHATL",0.0525,0.2782
"NCAPD2",24.836,52.5052
"IFFO1",25.0883,10.3606
"GIPR",2.2889,7.0609
"PHF7",7.8222,11.4356
"SEMA3G",462.1609,20.4438
"NISCH",57.5813,84.617
"STAB1",170.9522,29.294
"FUZ",11.1964,25.4802
"SLC6A13",0.0715,0.1052
"IDS",5.9318,8.9026
"PRSS3",0,0.6264
"ZNF200",3.7117,8.428
"CD4",152.5133,30.8685
"LRRC23",5.5657,16.231
"BTK",17.6859,5.0725
"HFE",18.3735,18.1658
"SCMH1",46.7749,55.9783
"FYN",81.3987,11.8269
"HIVEP2",36.5034,9.2984
"FMO1",5.3264,12.0924
"ELOA",42.7902,38.5601
"LYPLA2",47.353,178.7772
"CLCN6",19.1784,17.7245
"MRC2",108.7263,89.6624
"NME1-NME2",0,0
"SLC6A7",0.1418,0.6678
"TSPAN9",38.3829,92.4748
"BTBD7",19.853,16.2792
"APBA3",6.22,13.4299
"MKS1",2.9365,8.5262
"ABHD5",43.6043,23.2405
"ANOS1",21.362,10.2842
"AKAP8L",14.0049,46.8335
"MBTD1",11.548,19.4937
"UTP18",29.2893,49.5977
"RNF216",32.0305,41.0465
"TTC19",20.1167,55.0516
"PTBP1",81.5593,209.724
"DPF1",0.1264,0.3719
"SYT7",6.1453,89.9771
"LARS2",6.5155,10.3306
"PIK3C2A",49.179,40.0605
"PLAUR",16.759,19.3852
"ANLN",2.9463,8.6324
"WIZ",24.4262,42.5249
"RABGAP1",40.1943,47.0064
"DCN",957.2767,137.9294
"QPCTL",6.2545,31.0896
"PPP5C",17.7894,35.9845
"CEP68",40.6555,17.1204
"MAP4K3",28.6375,36.7282
"ZBTB32",0.3599,1.4338
"TYROBP",443.3724,101.6555
"TMEM159",71.4448,100.6312
"GABRA3",0.1096,0
"BRCA1",4.8893,5.9945
"ERCC1",24.7832,38.9205
"CD22",3.1243,5.5595
"SEMA3B",30.4881,116.4601
"MBTPS2",12.3858,17.3723
"PRICKLE3",8.2138,23.9742
"LTF",4.2013,1885.6783
"EXTL3",16.014,19.4576
"NR1H4",0,0
"ELOVL5",331.1523,931.8639
"ALOX5",20.859,50.1797
"KDM5D",0,0
"CALCOCO1",86.187,72.1432
"UBR7",31.2276,59.2921
"MAP4K5",23.1975,30.2089
"EHD3",7.4496,18.9426
"PSMC4",85.3485,126.3587
"MAN2B2",51.6844,63.2147
"SLC7A14",0.0433,0.0765
"CLDN11",12.9692,12.3112
"SLC25A39",58.3474,169.6525
"MVP",124.1027,133.717
"NUB1",56.6605,51.2014
"PGM3",18.1316,18.5483
"RWDD2A",7.5048,10.1831
"CLK1",68.0437,89.3597
"POLR3B",9.3518,12.3551
"ANGEL1",18.9552,20.8743
"RNF14",51.4316,56.7782
"DNASE1L1",10.7729,15.0992
"DDX11",1.3051,17.2282
"HEBP1",69.6383,76.1854
"GPRC5A",28.6486,126.8432
"MAMLD1",8.324,6.6815
"CD6",1.7183,3.88
"TACC3",6.5216,14.2836
"UFL1",42.2683,43.5564
"POLA2",1.2121,3.174
"ZC3H3",17.771,45.6475
"CAPN1",69.912,159.0581
"ACP3",1.8427,1.7309
"MDH1",106.5907,81.2606
"SLC30A9",25.0387,50.3995
"MTMR11",11.1957,25.1643
"COX15",19.9796,23.91
"CCDC88C",6.6153,46.1724
"YAF2",4.5196,7.3536
"ZMYND11",98.9167,144.5195
"WAS",27.6221,13.8364
"DPEP1",0.3325,2.1197
"BID",20.485,20.436
"MATR3",0.6349,2.3527
"NPC1L1",0.5471,4.6602
"XYLT2",14.759,42.0509
"RGPD5",0.0053,0
"STMN4",0.0921,1.0297
"NUDCD3",47.2793,59.4469
"ISL1",0.0269,0.2218
"CHDH",0.633,35.5213
"IL20RA",1.1383,47.3831
"CLCA1",0,0.0539
"CLCA4",0.264,0.492
"GLT8D1",53.6419,60.6602
"ATP2C1",44.9915,64.2623
"IGF1",5.177,1.9908
"SLC38A5",2.378,3.1322
"RALBP1",55.7921,53.1585
"RUFY3",18.4965,27.2751
"CNTN1",0.7591,4.7416
"SLC11A1",7.0885,3.7859
"WWTR1",48.1884,41.6521
"AGPS",43.5656,9.4315
"ZNF806",0.1764,0
"CXorf56",34.3757,43.8154
"ATP1A2",33.1119,2.0975
"TTC27",23.3906,26.4165
"ZNF582",3.1012,4.7426
"VSIG2",3.354,35.4681
"PHLDB1",89.546,22.833
"MARCO",434.6406,0.4293
"CYP24A1",0,0.6267
